,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
53,-0.03186273310149132,0.009445692536891485,0.004029358982860038,0.01732960746834886,38,3,7.0,240.0,0.0,3.9,3.6666666666666665,-0.666666666666667,-0.121566134770966
55,0.04668827059892502,-0.06241872827713363,-0.08838986116102186,0.010119520239828211,40,2,8.0,290.0,1.0,4.3,4.5,-0.133630620956212,1.0
56,0.03745196485680311,0.03933499674721359,0.05660108232115268,-0.024273339927670154,40,3,7.0,271.0,0.0,4.4,4.416666666666667,-0.612372435695794,1.0
59,-0.021611046878312,-0.01490118074259198,-0.0036353447095346957,0.025861992840730454,42,1,4.0,491.0,0.0,3.3,3.5,0.408248290463863,-0.5
62,0.05629338172571678,0.033439309059118766,0.04609401221670787,-0.0025491478409286404,43,1,10.0,468.0,0.0,4.8,4.333333333333333,-0.25,0.943879807448539
65,0.07611282845753067,-0.08589457920730355,-0.10365467771918704,0.08402981643817402,45,1,3.0,402.0,0.0,4.2,4.166666666666667,-0.408248290463863,0.94299033358289
70,-0.03038841573257927,0.05752935225768294,-0.16864544509789053,-0.12380936043452984,48,1,11.0,704.0,1.0,3.7,3.9166666666666665,-0.583333333333333,-0.29277002188456
71,0.004422955864427261,0.02500812209172393,0.043355629388547805,-0.03269461905890625,48,2,8.0,333.0,0.0,3.8,4.166666666666667,0.612372435695795,0.254823595718813
75,-0.015320549250520343,-0.03693304611453869,-0.025201513922825443,-0.03479972804816635,49,3,1.0,272.0,1.0,4.1,4.5,-0.327326835353989,0.333333333333333
76,-0.00018126945842635047,-0.019410757421734197,0.10067426018992451,0.022443772864339396,50,2,5.0,288.0,0.0,3.1,4.333333333333333,-0.298807152333598,0.29277002188456
77,-0.15663025767098457,-0.0197401393507699,0.09742122158334061,-0.12545374646153765,50,3,3.0,274.0,0.0,2.9,4.25,0.102062072615966,0.54232614454664
79,0.03709888324130861,0.05467809889573702,-0.0834867133851964,0.023621542351808338,53,2,11.0,319.0,0.0,4.0,4.083333333333333,0.25,0.316227766016838
80,0.020723942345262182,-0.010900668848779384,-0.12685866237133248,0.0378605671862016,53,3,10.0,298.0,0.0,4.1,3.5833333333333335,0.408248290463863,0.61394061351492
82,0.008969142975514485,0.01209176367945999,0.02348798850327305,0.017065266013720097,54,2,6.0,546.0,1.0,4.5,4.416666666666667,0.25,0.0
