,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
43,0.011186310176737409,0.004642275815782112,0.01023718645882469,-0.0037529051339667855,34,1,0.0,411.0,1.0,3.3,3.8333333333333335,-0.219264504826757,0.176776695296637
44,-0.004380390954051628,-0.08959730710846645,-0.036917077552305236,0.022158947359015902,35,1,9.0,1002.0,1.0,2.9,3.4545454545454546,-0.272165526975909,-0.469668218313862
45,0.015238949277089828,-0.002246069962712063,0.03515196080303707,-0.023177402367869374,35,2,11.0,694.0,0.0,2.9,3.6666666666666665,0.166666666666667,0.730798148647035
47,-0.009423708636019018,0.05985639547473379,0.09065453793416434,0.0021232732000986757,36,1,4.0,406.0,1.0,1.7,2.6666666666666665,0.0,0.647058823529412
48,0.032825946999299575,-0.04923348378456211,-0.08299338718367977,0.008268413429876498,36,2,5.0,328.0,0.0,2.0,2.9166666666666665,-0.5,0.108465228909328
49,-0.05537651473231276,-0.053600513776317416,-0.04258221572966578,-0.041270656275157316,37,1,4.0,416.0,0.0,3.6,4.083333333333333,0.845154254728516,0.787838597158335
50,-0.039618631339529434,0.08783593931942647,0.09081039645170995,0.0014255885907418487,37,2,2.0,358.0,0.0,3.5,3.9166666666666665,0.25,0.753410574956818
51,-0.012486216115014343,0.018215909594900853,-0.04783056292280497,0.0035909247678404654,37,3,2.0,329.0,0.0,3.3,3.9166666666666665,-0.218217890235992,0.977802414077409
52,-0.009818097432388118,-0.0006612731117549117,0.012414543481641468,-0.03273399876181364,38,1,0.0,360.0,1.0,3.3333333333333335,3.5,-0.707106781186547,0.5
53,0.02230480623303682,0.03653334284368221,0.05046886741207342,0.00712996443966196,38,2,3.0,298.0,1.0,3.3,3.1818181818181817,0.666666666666667,0.0
54,-0.0027740946901416673,0.01589500949425189,0.02771690379093285,0.031753322191446706,38,3,7.0,240.0,0.0,3.9,3.6666666666666665,-0.666666666666667,-0.121566134770966
56,-0.021238700429008956,-0.04364389866801757,-0.12106258866426689,-0.13547195035160875,40,2,8.0,290.0,1.0,4.3,4.5,-0.133630620956212,1.0
57,0.019088286810013504,0.05697571116075399,0.07132701875843918,0.011455534579002585,40,3,7.0,271.0,0.0,4.4,4.416666666666667,-0.612372435695794,1.0
60,-0.06692101260266865,-0.028557749148977907,-0.014822271743821464,0.01796943557109074,42,1,4.0,491.0,0.0,3.3,3.5,0.408248290463863,-0.5
63,-0.06726472770771524,-0.0641111490536837,-0.025136219934917936,0.009624315317692714,43,1,10.0,468.0,0.0,4.8,4.333333333333333,-0.25,0.943879807448539
66,-0.01647861841275528,0.001345784117192511,-0.009711321560268363,-0.007462172102212709,45,1,3.0,402.0,0.0,4.2,4.166666666666667,-0.408248290463863,0.94299033358289
71,-0.045340820003204656,-0.022252646147315387,0.11647371496136084,0.11812345818425271,48,1,11.0,704.0,1.0,3.7,3.9166666666666665,-0.583333333333333,-0.29277002188456
72,0.005943316372097095,-0.0333851943857094,-0.04809779752922639,-0.01894285829398629,48,2,8.0,333.0,0.0,3.8,4.166666666666667,0.612372435695795,0.254823595718813
76,-0.19188727743289513,0.043205557878201795,-0.03786026947365464,-0.10629477182278418,49,3,1.0,272.0,1.0,4.1,4.5,-0.327326835353989,0.333333333333333
77,-0.03846847927921462,-0.01081348119591739,0.04839590861211215,-0.020797566890757832,50,2,5.0,288.0,0.0,3.1,4.333333333333333,-0.298807152333598,0.29277002188456
78,0.0030481460301287947,0.08886366814637872,-0.10162187868121891,-0.054325991830686156,50,3,3.0,274.0,0.0,2.9,4.25,0.102062072615966,0.54232614454664
80,0.045283459075216845,-0.1081533598498381,0.033114626232348794,-0.02792230366864043,53,2,11.0,319.0,0.0,4.0,4.083333333333333,0.25,0.316227766016838
82,-0.016741786150303986,0.08684719652857703,0.04819726572434626,-0.037448256342993376,54,2,6.0,546.0,1.0,4.5,4.416666666666667,0.25,0.0
83,0.002100695791689437,-0.12014735726186801,0.015450725894643769,-0.042943267289590165,54,3,7.0,239.0,0.0,4.5,4.166666666666667,-1.0,-0.468521285665818
86,-0.002084378835131586,-0.11651051518781252,0.05149369271171612,0.06704909073718383,58,1,4.0,528.0,0.0,3.2,4.0,-0.790569415042095,-0.478091443733757
87,0.061227785329570454,-0.040869724373058074,0.024036742904300256,0.04946809518473261,58,2,3.0,264.0,0.0,4.2,4.25,0.612372435695795,0.0
89,0.06115905734985262,-0.40761358816046156,-0.04217318060501033,-0.014494925458379973,59,1,9.0,377.0,1.0,4.2,4.333333333333333,0.612372435695795,0.793884186037445
92,-0.032806455708777604,0.01593022161332413,0.021688363763844237,0.009171378744469732,63,2,5.0,430.0,0.0,3.5,4.166666666666667,-0.166666666666667,0.0857492925712544
95,0.03234553073506803,0.13951816038204806,0.07637490271354817,-0.028113492490570945,66,2,11.0,665.0,1.0,4.6,4.25,0.875,0.941763218696022
97,-0.033307679050756045,0.01277940787532383,-0.010231951309581724,0.022792198640307144,67,1,11.0,553.0,1.0,4.2,4.25,0.560112033611204,0.759256602365297
98,0.11494442554850937,0.15553836947406197,-0.03447700969822818,-0.06683733769383239,67,2,11.0,240.0,0.0,4.3,4.166666666666667,0.77174363314129,0.774596669241483
102,-0.03556581704914256,-0.06635871805265166,-0.0037657566691150493,-0.014309140407883676,71,1,5.0,362.0,1.0,3.7,4.083333333333333,-0.25,0.911684611677103
103,-0.1050613099660973,-0.2635426125345928,-0.14624318035908274,0.09135796128335079,73,2,7.0,318.0,0.0,4.1,3.9166666666666665,-0.327326835353989,0.877058019307029
104,-0.028008081018665306,-0.060813962250553494,0.014488376371246392,0.04686066016154171,73,3,7.0,225.0,0.0,4.2,4.25,-0.408248290463863,0.968329663731489
105,0.06199637545641138,-0.09473974704677911,-0.07403288997164466,0.025058449469909004,74,1,2.0,596.0,0.0,3.1,4.083333333333333,-0.559016994374947,0.297044262893002
106,-0.07003608980069564,-0.022557052830787367,0.06961234244050934,0.0712010195905798,74,2,3.0,746.0,1.0,2.9,3.9166666666666665,0.0,0.0
107,0.10522837943042956,0.08574520082260458,0.14818062600684295,0.15638210465544436,74,3,0.0,397.0,0.0,3.1,4.166666666666667,-0.612372435695795,0.557086014531156
108,0.03633870757607683,0.01129071565214069,-0.033238500179537785,-0.08147612437194188,75,1,9.0,417.0,0.0,4.0,4.083333333333333,-0.218217890235992,0.857492925712544
109,-0.033026525809231794,-0.05101561737741485,-0.015500663563352324,-0.019946003667360844,75,3,10.0,201.0,0.0,4.6,4.583333333333333,0.408248290463863,1.0
110,-0.19477835529190132,-0.14025252892311263,0.12744139435134838,-0.2633786745150683,77,1,10.0,756.0,1.0,2.4,3.8333333333333335,-0.25,0.363803437554499
111,-0.022145063993165636,-0.05469491590044302,0.001953214744299892,-0.004775053921049406,77,2,11.0,591.0,0.0,2.4,4.166666666666667,0.166666666666667,1.0
116,0.033547593267368885,0.011666234804253375,-0.11141123407853286,-0.04367974187434886,81,1,1.0,721.0,1.0,3.6,3.0833333333333335,0.686406472983644,0.0
117,0.005360433364388321,0.02875426304557395,0.13298710059860433,-0.016142903584483347,81,2,7.0,485.0,0.0,3.9,3.3333333333333335,0.0,0.649519052838329
118,-0.04411026776585967,0.1501109991842149,0.13747609636249497,-0.01790880871103211,82,1,9.0,387.0,1.0,2.5,3.6666666666666665,-0.534522483824849,0.661437827766148
119,0.006140380299870668,0.05224320113738922,0.037096395042691487,-0.031535696572930476,83,1,1.0,451.0,1.0,3.7,3.75,0.645497224367903,-0.685994340570035
120,0.1594477432733668,0.040550629595564686,-0.02583523033001018,-0.07498327356925108,83,2,8.0,327.0,1.0,3.6,3.5833333333333335,0.790569415042095,-0.269679944985297
121,-0.03430887722095919,-0.09809079261281818,0.11134828613392521,-0.10743353638132745,84,1,1.0,444.0,0.0,3.3,4.0,0.0,0.108465228909328
122,-0.022685689377720863,-0.08665090083752904,0.01365384387225559,-0.028456446161409448,86,1,3.0,417.0,1.0,3.9,4.25,0.880704845927979,0.349215147884789
124,-0.0024743782526031647,0.0034558700270564935,0.04004766131150715,0.008231807204758917,87,1,0.0,498.0,1.0,3.2,3.3333333333333335,0.592927061281571,0.894427190999916
128,0.017651539720895955,0.0278484309717065,0.031202379102173668,-0.03324632501489077,89,1,5.0,484.0,1.0,3.9,4.166666666666667,0.0,0.316227766016838
135,0.11261289708350304,-0.0033537283005907986,-0.037229644671087414,-0.0004696147396891954,92,1,1.0,372.0,1.0,3.5,3.5,-0.534522483824849,-0.54232614454664
137,-0.011243640455080686,0.05531731215681611,0.038956729102864025,-0.08920462473633659,93,1,4.0,472.0,1.0,3.5,4.25,-0.534522483824849,0.54232614454664
138,-0.010497015162151487,-0.19934880938893215,-0.07705905900061445,-0.04518662206701927,93,3,2.0,218.0,0.0,3.5,3.5833333333333335,0.25,-0.2
141,0.006611369388900814,-0.00552120019649844,-0.10583801129760759,-0.000722555558171293,95,1,5.0,405.0,0.0,3.4,2.9166666666666665,-0.327326835353989,-0.321633760451338
