,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
35,-0.002274254546631238,-0.053523789347482184,0.0649587754678888,-0.04998247050253255,31,2,6.0,265.0,0.0,2.6,3.0,-0.408248290463863,-0.675724628517346
38,0.08769802074258275,0.13943939479996337,0.06159920689255646,0.028649497158776214,32,2,5.0,273.0,0.0,3.2,4.0,-0.25,-0.600245047998781
41,0.04768282403007048,0.10868429230378779,0.02824652994571113,-0.09364312451361427,33,3,2.0,0.0,1.0,4.2,4.166666666666667,0.534522483824849,0.774596669241483
42,0.013076341708117799,0.037044503060928304,0.023373163214382535,-0.01839506026624342,34,1,0.0,411.0,1.0,3.3,3.8333333333333335,-0.219264504826757,0.176776695296637
43,0.045741436731169906,-0.0675389105231925,0.02131329171624243,-0.0003313907952024072,35,1,9.0,1002.0,1.0,2.9,3.4545454545454546,-0.272165526975909,-0.469668218313862
44,0.009275634295016516,0.03299302958280773,0.04697232523497446,0.00531894149518074,35,2,11.0,694.0,0.0,2.9,3.6666666666666665,0.166666666666667,0.730798148647035
46,0.019111323394119983,-0.06545032250023244,-0.07677694789578321,-0.004308211296100958,36,1,4.0,406.0,1.0,1.7,2.6666666666666665,0.0,0.647058823529412
47,0.00661493696077616,0.044160129926639695,0.0033580580174805775,0.0090556332256611,36,2,5.0,328.0,0.0,2.0,2.9166666666666665,-0.5,0.108465228909328
48,0.0313633597470322,0.0014562106485633457,0.0017434559904770778,-0.011817841553047808,37,1,4.0,416.0,0.0,3.6,4.083333333333333,0.845154254728516,0.787838597158335
49,-0.012068411259604478,0.023191930014929012,0.009272615642173366,-0.014319028623634846,37,2,2.0,358.0,0.0,3.5,3.9166666666666665,0.25,0.753410574956818
50,-0.1160104832990635,0.03174254486379686,0.06734443623957093,0.04472321929309299,37,3,2.0,329.0,0.0,3.3,3.9166666666666665,-0.218217890235992,0.977802414077409
51,-0.002278400184520184,-0.0056597399778283795,0.03168584918178647,0.016720948331736336,38,1,0.0,360.0,1.0,3.3333333333333335,3.5,-0.707106781186547,0.5
52,-0.01341945294405288,0.0374236784167543,-0.007722499089801707,0.043278861276927885,38,2,3.0,298.0,1.0,3.3,3.1818181818181817,0.666666666666667,0.0
53,-0.008586732369595023,0.008835541915142839,-0.01695806447266728,0.02254461673062538,38,3,7.0,240.0,0.0,3.9,3.6666666666666665,-0.666666666666667,-0.121566134770966
55,0.04609386911305165,-0.04396051896424023,-0.06272431839183322,0.001219719133126342,40,2,8.0,290.0,1.0,4.3,4.5,-0.133630620956212,1.0
56,0.052864387448909665,0.025973542434271028,0.046096850567238175,-0.01532789539155974,40,3,7.0,271.0,0.0,4.4,4.416666666666667,-0.612372435695794,1.0
59,0.009478991938266304,-0.015926709943548306,0.0009390417825028656,0.02458533478073621,42,1,4.0,491.0,0.0,3.3,3.5,0.408248290463863,-0.5
62,0.02684142922448893,0.02665063695878472,-0.00254954229953162,0.0030044778296890017,43,1,10.0,468.0,0.0,4.8,4.333333333333333,-0.25,0.943879807448539
65,0.018143411598600938,-0.003445885545520172,-0.0671891692201164,-0.016328477570721433,45,1,3.0,402.0,0.0,4.2,4.166666666666667,-0.408248290463863,0.94299033358289
71,-0.03885536545995536,0.14969771421559966,0.12377658973656837,0.0626048215174027,48,1,11.0,704.0,1.0,3.7,3.9166666666666665,-0.583333333333333,-0.29277002188456
72,-0.013251560261295252,-0.013604597393820689,-0.023044741483118775,-0.015016562620270292,48,2,8.0,333.0,0.0,3.8,4.166666666666667,0.612372435695795,0.254823595718813
76,0.01723081051104634,-0.0024444793742044615,-0.02671794240226722,-0.009929551913173386,49,3,1.0,272.0,1.0,4.1,4.5,-0.327326835353989,0.333333333333333
