,TP9,AF7,AF8,TP10,subj,ses,Unnamed: 0,Performance,Time_Sec,Signal Drop
26,-0.06717146139793319,0.027454740950478482,0.05039275709239436,-0.024416219141972763,27,3,70.0,1.0,0.0,0.0
27,-0.02561165275968072,0.17885505585556308,0.15406608550768677,-0.03318214132323181,28,1,71.0,7.0,424.0,0.0
28,-0.07727088825848706,0.15359971107215903,0.18729209443351555,-0.01426121771135645,28,2,72.0,5.0,305.0,0.0
29,0.07497282542243319,0.022253819702032458,-0.0497437362230243,0.05843757559649902,28,3,73.0,7.0,274.0,0.0
30,0.029126138370168104,0.1255654228890041,-0.1076261622246705,-0.004924166050467636,29,1,74.0,7.0,510.0,1.0
31,-0.010998649283814181,0.029930563294175327,-0.0760404026861314,-0.02969885303886159,29,2,75.0,2.0,349.0,0.0
32,-0.027713269420089493,0.030718126191068333,0.018355431059496666,-0.006304662101331572,29,3,76.0,6.0,303.0,0.0
33,-0.06816977660640366,-0.30462231871147966,0.028073910717617213,0.009907299772240905,30,1,77.0,0.0,280.0,0.0
34,0.06957708619660413,0.39457742572483356,0.25628486170541437,-0.15973021664253942,31,1,80.0,6.0,275.0,0.0
35,-0.002274254546631238,-0.053523789347482184,0.0649587754678888,-0.04998247050253255,31,2,81.0,6.0,265.0,0.0
36,-0.030184275601731005,0.006325423614155109,-0.02123545164130297,0.04749152061855193,31,3,82.0,5.0,210.0,0.0
38,0.08769802074258275,0.13943939479996337,0.06159920689255646,0.028649497158776214,32,2,84.0,5.0,273.0,0.0
40,-0.07076125301726417,-0.0540994853393613,-0.03764958157859089,0.009037946108312113,33,2,86.0,6.0,0.0,0.0
41,0.04768282403007048,0.10868429230378779,0.02824652994571113,-0.09364312451361427,33,3,87.0,2.0,0.0,1.0
42,0.013076341708117799,0.037044503060928304,0.023373163214382535,-0.01839506026624342,34,1,88.0,0.0,411.0,1.0
43,0.045741436731169906,-0.0675389105231925,0.02131329171624243,-0.0003313907952024072,35,1,91.0,9.0,1002.0,1.0
44,0.009275634295016516,0.03299302958280773,0.04697232523497446,0.00531894149518074,35,2,92.0,11.0,694.0,0.0
46,0.019111323394119983,-0.06545032250023244,-0.07677694789578321,-0.004308211296100958,36,1,93.0,4.0,406.0,1.0
47,0.00661493696077616,0.044160129926639695,0.0033580580174805775,0.0090556332256611,36,2,94.0,5.0,328.0,0.0
48,0.0313633597470322,0.0014562106485633457,0.0017434559904770778,-0.011817841553047808,37,1,96.0,4.0,416.0,0.0
49,-0.012068411259604478,0.023191930014929012,0.009272615642173366,-0.014319028623634846,37,2,97.0,2.0,358.0,0.0
50,-0.1160104832990635,0.03174254486379686,0.06734443623957093,0.04472321929309299,37,3,98.0,2.0,329.0,0.0
51,-0.002278400184520184,-0.0056597399778283795,0.03168584918178647,0.016720948331736336,38,1,99.0,0.0,360.0,1.0
52,-0.01341945294405288,0.0374236784167543,-0.007722499089801707,0.043278861276927885,38,2,100.0,3.0,298.0,1.0
53,-0.008586732369595023,0.008835541915142839,-0.01695806447266728,0.02254461673062538,38,3,101.0,7.0,240.0,0.0
55,0.04609386911305165,-0.04396051896424023,-0.06272431839183322,0.001219719133126342,40,2,104.0,8.0,290.0,1.0
56,0.052864387448909665,0.025973542434271028,0.046096850567238175,-0.01532789539155974,40,3,105.0,7.0,271.0,0.0
57,-0.028915274348868425,-0.07375330288667704,-0.05135003610392084,0.04646923766450561,41,1,106.0,0.0,478.0,0.0
58,0.09871145498303842,-0.14585154353686627,-0.0695736379614027,0.05171025127453078,41,3,107.0,3.0,258.0,0.0
59,0.009478991938266304,-0.015926709943548306,0.0009390417825028656,0.02458533478073621,42,1,108.0,4.0,491.0,0.0
61,-0.019047773206809233,-0.013808585373719017,-0.0006655978042498561,-0.022341802432966486,42,3,109.0,7.0,432.0,0.0
62,0.02684142922448893,0.02665063695878472,-0.00254954229953162,0.0030044778296890017,43,1,110.0,10.0,468.0,0.0
63,0.004508910231201096,0.0319624195661701,0.006314706031022021,-0.016346321893502328,43,2,111.0,7.0,493.0,1.0
64,-0.01581146273862304,-0.13372185501180595,-0.13693441292843506,-0.009525752442699712,43,3,112.0,7.0,248.0,0.0
65,0.018143411598600938,-0.003445885545520172,-0.0671891692201164,-0.016328477570721433,45,1,115.0,3.0,402.0,0.0
67,-0.07298397095749894,0.030784536870554075,-0.01858273361765818,-0.03680641994910184,45,3,116.0,6.0,329.0,0.0
68,-0.3397138723684468,0.11616728782678978,0.2007226397782347,-0.2293007490851604,47,1,120.0,1.0,299.0,1.0
