,TP9,AF7,AF8,TP10,subj,ses,Unnamed: 0,Performance,Time_Sec,Signal Drop
65,-0.01733844397388372,0.022316814744300056,-0.021334103018803972,-0.0251934953294662,45,3,116.0,6.0,329.0,0.0
66,0.027487443504207683,-0.07993101553386328,-0.22013801252587653,0.03143740850589934,47,1,120.0,1.0,299.0,1.0
67,-0.03660174982472954,-0.017857646749628323,0.03397906135180443,0.02569575495526514,47,2,121.0,2.0,339.0,0.0
68,0.020901097589008148,-0.048713481738411,-0.040463876593810594,0.01202926284350272,47,3,122.0,2.0,406.0,0.0
69,0.01652155841724431,-0.06064845949704144,-0.007709676863327245,0.011368436104214178,48,1,123.0,11.0,704.0,1.0
70,0.008158388284244061,0.030316398119766122,-0.03772389152680186,0.007239432476494226,48,2,124.0,8.0,333.0,0.0
71,0.029916244235555722,0.024933668149869297,0.07130980239375835,0.024684513786101762,48,3,125.0,9.0,270.0,0.0
72,0.012602905929646918,-0.032252799819276534,-0.08774059485130485,-0.04115609701655727,49,1,126.0,1.0,240.0,0.0
73,-0.014202549096320412,0.027184319124976347,0.048832760674357524,-0.009901801355522138,49,2,127.0,6.0,515.0,0.0
74,-0.014507177630192642,0.006418381960358318,-0.006190505616307173,0.03034386181303918,49,3,128.0,1.0,272.0,1.0
75,-0.032844347916098034,0.003430939057658084,0.034085672939496436,0.014642465123787356,50,2,129.0,5.0,288.0,0.0
76,-0.059968312822442194,-0.045150697700473606,0.0020072754904164,-0.0969379516467804,50,3,130.0,3.0,274.0,0.0
77,-0.005450758846521048,-0.024258229575510604,0.0065650491224476595,0.0018406571270529212,53,1,137.0,8.0,380.0,0.0
78,0.009789810389575363,-0.041399641207100164,-0.07606758580202162,-0.01470643145144802,53,2,138.0,11.0,319.0,0.0
79,0.07125873267582519,-0.06788418851795139,-0.12835381819131697,-0.054927041004539996,53,3,139.0,10.0,298.0,0.0
81,0.012431354411277462,0.012237379633494564,0.03319769906604616,0.015872833580304228,54,2,140.0,6.0,546.0,1.0
82,-0.0008747106262260109,0.051446201769047344,-0.012637255714566737,0.025071782689369576,54,3,141.0,7.0,239.0,0.0
83,0.008143165832653322,-0.03576453627067277,-0.007641520648994184,0.005669757676917259,57,1,146.0,11.0,698.0,0.0
84,-0.02723515462911126,-0.000995514295119898,-0.0479608125799767,-0.020966486333456675,58,1,149.0,4.0,528.0,0.0
85,-0.00684728701971059,-0.0016002862356968843,0.19981079144621167,-0.01689111379208522,58,2,150.0,3.0,264.0,0.0
87,-0.023300687084036802,-0.006466802070952691,-0.0005373698424909611,-0.016430643214713457,59,2,3.0,3.0,264.0,0.0
89,0.05353084704488105,-0.024670077681734195,-0.024599731556889833,0.05690154563421174,63,2,13.0,5.0,430.0,0.0
90,0.008448208610736238,0.009817719122899233,-0.02928265342206729,0.011347759532848499,64,2,15.0,11.0,342.0,1.0
92,0.000600558879994426,-0.03194040597764827,-0.0406301696348438,0.004154367052977475,66,2,19.0,11.0,665.0,1.0
93,0.005148515600841461,-0.083505391717059,-0.03162473943301527,0.16548436307327108,66,3,20.0,9.0,223.0,0.0
94,-0.04801255956710913,0.24681260685987577,0.058339399491774344,0.017653534819784825,67,1,21.0,11.0,553.0,1.0
95,0.046453744671906334,0.27944116165446514,0.18794891398705926,-0.05153944658613773,67,2,22.0,11.0,240.0,0.0
96,0.0476153547871934,0.03601602702119109,-0.048092310437794605,0.003550623154799946,68,3,26.0,7.0,783.0,0.0
97,0.040318777754577116,0.03305503474474023,0.061264479953048546,0.020522950403619993,70,1,30.0,5.0,561.0,0.0
98,0.021895335279605896,0.04849886293646536,-0.015698039483420644,0.015022340629750181,71,1,33.0,5.0,362.0,1.0
