subj,ses,affecttrust_corr,cognitivetrust_corr
43,2,NaN,1
43,3,NaN,0.87831006565368
45,1,-0.408248290463863,0.94299033358289
45,2,0.612372435695795,0.968329663731489
45,3,NaN,1
48,1,-0.583333333333333,-0.29277002188456
48,2,0.612372435695795,0.254823595718813
48,3,-0.25,NaN
49,1,NaN,0.707106781186547
49,2,NaN,-0.316227766016838
49,3,-0.327326835353989,0.333333333333333
50,1,0.790569415042095,-0.342997170285018
50,2,-0.298807152333598,0.29277002188456
50,3,0.102062072615966,0.54232614454664
52,1,-0.25,0.765465544619743
52,2,-0.612372435695795,0.941763218696022
52,3,NaN,0.943275552432877
53,1,NaN,0.426401432711221
53,2,0.25,0.316227766016838
53,3,0.408248290463863,0.61394061351492
54,1,NaN,0.29277002188456
54,2,0.25,0
54,3,-1,-0.468521285665818
55,1,0.0625,0.789542033951723
55,2,0.408248290463863,NaN
55,3,0.25,0.8
56,1,0.534522483824849,0.273861278752583
56,2,-0.408248290463863,0
56,3,NaN,0
58,1,-0.790569415042095,-0.478091443733757
58,2,0.612372435695795,0
58,3,NaN,NaN
59,1,0.612372435695795,0.793884186037445
59,2,0.875,0.964901281354015
59,3,NaN,0.447213595499958
60,1,-0.408248290463863,NaN
60,2,0.666666666666667,0.968329663731489
60,3,0.408248290463863,NaN
61,1,0.875,0.547722557505166
61,2,0.408248290463863,-0.4
61,3,NaN,0.447213595499958
62,1,NaN,0.968329663731489
62,2,-0.196116135138184,0.948683298050514
62,3,NaN,0.948683298050514
63,1,0,0.0647750275631295
63,2,-0.166666666666667,0.0857492925712544
63,3,NaN,NaN
64,1,NaN,0.58131835897618
64,2,NaN,0.907959384500452
64,3,NaN,0.968329663731489
65,1,0.408248290463863,0.297044262893002
65,2,0.133630620956212,0.790569415042095
65,3,0,0.8
66,1,0.534522483824849,0.533001790889026
66,2,0.875,0.941763218696022
66,3,NaN,0.943879807448539
67,1,0.560112033611204,0.759256602365297
67,2,0.77174363314129,0.774596669241483
67,3,NaN,1
68,1,NaN,-0.369274472937998
68,2,NaN,NaN
68,3,NaN,NaN
69,1,NaN,0.45573271518765
69,2,0.25,0.948683298050514
69,3,-0.612372435695795,1
70,1,NaN,0.911684611677103
70,2,-0.790569415042095,0.948683298050514
70,3,-0.872871560943969,0.968329663731489
71,1,-0.25,0.911684611677103
71,2,NaN,0.790569415042095
